"publicaddress","controlnbr","CCN","Precinct","ReportedDate","BeginDate","Time","Offense","Description","UCRCode","EnteredDate","Long","Lat","x","y","Neighborhood","lastchanged","LastUpdateDate","OBJECTID","ESRI_OID"
"0029XX Chicago AV S",2001,"MP 2010 049740",3,"2010-02-22T13:40:00.000Z","2010-02-22T13:22:00.000Z","13:22:00","SHOPLF","Shoplifting",7,"2010-02-22T13:37:48.000Z",-93.263046,44.94899,531143.89249,157587.015062,"PHILLIPS WEST","2010-02-22T18:51:39.000Z","2015-09-21T14:16:59.000Z",,
"0049XX Queen AV N",2002,"MP 2010 999144",4,"2010-02-22T13:38:15.000Z","2010-02-21T08:00:00.000Z","08:00:00","TFMV","Theft From Motr Vehc",7,"2010-02-22T13:38:15.000Z",-93.310883,45.04451,518728.331524,192399.85577,"SHINGLE CREEK","2010-02-22T13:38:22.000Z","2015-09-21T14:16:59.000Z",,
"0003XX 16 AV SE",2003,"MP 2010 999143",2,"2010-02-22T13:40:50.000Z","2010-02-19T23:20:00.000Z","23:20:00","THEFT","Other Theft",7,"2010-02-22T13:40:50.000Z",-93.233833,44.978649,538691.047294,168413.815122,"UNIVERSITY OF MINNESOTA","2010-02-23T13:44:28.000Z","2015-09-21T14:16:59.000Z",,
"0016XX University AV SE",2004,"MP 2010 049741",2,"2010-02-22T14:15:00.000Z","2010-02-20T23:00:00.000Z","23:00:00","TBLDG","Theft From Building",7,"2010-02-22T14:14:52.000Z",-93.23349,44.978512,538777.306959,168365.463674,"UNIVERSITY OF MINNESOTA","2010-02-23T05:56:14.000Z","2015-09-21T14:16:59.000Z",,
"00003X 9 ST S",2005,"MP 2010 049818",1,"2010-02-22T15:00:00.000Z","2010-02-21T16:00:00.000Z","16:00:00","THEFT","Other Theft",7,"2010-02-22T15:02:28.000Z",-93.275513,44.975861,527903.684473,167382.223752,"DOWNTOWN WEST","2010-02-23T15:22:47.000Z","2015-09-21T14:16:59.000Z",,
"0003XX Washington AV SE",2006,"MP 2010 049715",2,"2010-02-22T15:17:00.000Z","2010-02-22T08:30:00.000Z","08:30:00","THEFT","Other Theft",7,"2010-02-22T15:14:55.000Z",-93.234306,44.973202,538569.92985,166429.356749,"UNIVERSITY OF MINNESOTA","2010-02-24T12:57:08.000Z","2015-09-21T14:16:59.000Z",,
"0055XX 28 AV S",2007,"MP 2010 049849",3,"2010-02-22T15:47:00.000Z","2010-02-10T12:00:00.000Z","12:00:00","THEFT","Other Theft",7,"2010-02-22T15:47:21.000Z",-93.231972,44.901989,539223.41351,140464.763824,"WENONAH","2010-02-22T18:52:21.000Z","2015-09-21T14:16:59.000Z",,
"0008XX 5 ST SE",2008,"MP 2010 049844",2,"2010-02-22T16:00:00.000Z","2010-02-21T01:30:00.000Z","01:30:00","CSCR","Crim Sex Cond-rape",3,"2010-02-22T16:13:54.000Z",-93.243347,44.984589,536223.010592,170576.823053,"MARCY HOLMES","2010-02-23T07:14:21.000Z","2015-09-21T14:16:59.000Z",,
"0051XX Camden AV N",2009,"MP 2010 049833",4,"2010-02-22T16:35:00.000Z","2010-02-22T11:00:00.000Z","11:00:00","BURGD","Burglary Of Dwelling",6,"2010-02-22T16:31:27.000Z",-93.289299,45.048962,524304.141974,194030.703004,"LIND - BOHANON","2010-02-26T12:01:48.000Z","2015-09-21T14:16:59.000Z",,
"0023XX Lake ST E",2010,"MP 2010 049783",3,"2010-02-22T17:22:00.000Z","2010-02-22T11:30:00.000Z","11:30:00","TFPER","Theft From Person",7,"2010-02-22T17:17:26.000Z",-93.238701,44.948502,537449.645295,157420.801188,"EAST PHILLIPS","2010-02-23T03:48:26.000Z","2015-09-21T14:16:59.000Z",,
